Date : 2021-08-22 16:13:33
Directory : f:\xunzheji
Total : 317 files,  59613 codes, 1984 comments, 3315 blanks, all 64912 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| f:\xunzheji\src\pages\HomeScreen\HOME\News\News.js                              | JavaScript  |         69 |          0 |          6 |         75 |
| f:\xunzheji\src\pages\HomeScreen\HOME\ShiCha.js                                 | JavaScript  |        103 |          1 |         11 |        115 |
| f:\xunzheji\src\pages\HomeScreen\HOME\Zs.js                                     | JavaScript  |        263 |          7 |         14 |        284 |
| f:\xunzheji\src\pages\HomeScreen\HOME\business\Business.js                      | JavaScript  |        113 |          1 |          6 |        120 |
| f:\xunzheji\src\pages\HomeScreen\HOME\business\HuZhou.js                        | JavaScript  |         69 |          0 |          9 |         78 |
| f:\xunzheji\src\pages\HomeScreen\HOME\business\SegmentTabBar.js                 | JavaScript  |         75 |          0 |          4 |         79 |
| f:\xunzheji\src\pages\HomeScreen\HOME\business\renwu.json                       | JSON        |        115 |          0 |          0 |        115 |
| f:\xunzheji\src\pages\HomeScreen\Home.js                                        | JavaScript  |         25 |          0 |          3 |         28 |
| f:\xunzheji\src\pages\HomeScreen\Homepagebook.js                                | JavaScript  |        298 |          4 |         14 |        316 |
| f:\xunzheji\src\pages\HomeScreen\Read\commonStyle.js                            | JavaScript  |         62 |         48 |         10 |        120 |
| f:\xunzheji\src\pages\HomeScreen\Read\icon\index.js                             | JavaScript  |         31 |          3 |          4 |         38 |
| f:\xunzheji\src\pages\HomeScreen\Read\icon\oneIconFont.js                       | JavaScript  |         47 |          3 |          3 |         53 |
| f:\xunzheji\src\pages\HomeScreen\Read\musicList.json                            | JSON        |         34 |          0 |          3 |         37 |
| f:\xunzheji\src\pages\HomeScreen\Read\musicPlayer.js                            | JavaScript  |        375 |        132 |         34 |        541 |
| f:\xunzheji\src\pages\HomeScreen\Read\src\Barrage.js                            | JavaScript  |         78 |         17 |         14 |        109 |
| f:\xunzheji\src\pages\HomeScreen\Read\src\UI.js                                 | JavaScript  |         24 |          0 |          7 |         31 |
| f:\xunzheji\src\pages\HomeScreen\Read\src\components\BarrageInputView.js        | JavaScript  |         71 |          0 |          8 |         79 |
| f:\xunzheji\src\pages\HomeScreen\Read\src\components\BarrageItem.js             | JavaScript  |        116 |          8 |         12 |        136 |
| f:\xunzheji\src\pages\HomeScreen\Read\src\components\BarrageMovableItem.js      | JavaScript  |        138 |          9 |         18 |        165 |
| f:\xunzheji\src\pages\HomeScreen\Read\src\components\BarrageMoveView.js         | JavaScript  |        179 |         10 |         17 |        206 |
| f:\xunzheji\src\pages\HomeScreen\Read\src\components\BarrageView.js             | JavaScript  |        120 |         11 |         16 |        147 |
| f:\xunzheji\src\pages\HomeScreen\duihuan_jinbi\duihuan_jinbi.js                 | JavaScript  |         97 |          1 |          8 |        106 |
| f:\xunzheji\src\pages\HomeScreen\duihuan_jinbi\duihuan_jinbi.json               | JSON        |         48 |          0 |          0 |         48 |
